,agbd,agbd_pi_lower,agbd_pi_upper,agbd_se,agbd_t,agbd_t_se,algorithm_run_flag,beam,channel,degrade_flag,delta_time,elev_lowestmode,l2_quality_flag,l4_quality_flag,lat_lowestmode,lon_lowestmode,master_frac,master_int,predict_stratum,predictor_limit_flag,response_limit_flag,selected_algorithm,selected_mode,selected_mode_flag,sensitivity,shot_number,solar_elevation,surface_flag,xvar_1,xvar_2,xvar_3,xvar_4
14310,57.23624038696289,2.6000876426696777,182.7484588623047,13.091246604919434,7.195328712463379,3.4411656856536865,1,8,4,0,116550908.9217742,-30.253271102905273,1,1,5.828499233692055,-55.81326086728015,0.9217742000000001,116550908,b'EBT_SA',255,255,2,7,3,0.972938060760498,155570800200090795,-22.819894790649414,1,10.430724143981934,10.851266860961914,0.0,0.0
14311,37.813297271728516,0.037975288927555084,146.4978790283203,13.097378730773926,5.8484039306640625,3.44197154045105,1,8,4,0,116550908.9300382,-30.060272216796875,1,1,5.828920135997373,-55.812960976599484,0.9300382,116550908,b'EBT_SA',255,255,2,1,3,0.9784806370735168,155570800200090796,-22.820171356201172,1,10.382196426391602,10.69813060760498,0.0,0.0
14312,84.5821762084961,10.520949363708496,229.5259246826172,13.092437744140625,8.746907234191895,3.4413223266601562,1,8,4,0,116550908.9383022,-29.123889923095703,1,1,5.829341129059422,-55.8126609522776,0.9383022000000001,116550908,b'EBT_SA',255,255,5,3,0,0.9845772981643677,155570800200090797,-22.820446014404297,1,10.608487129211426,10.90641975402832,0.0,0.0
14313,28.95381736755371,-9999.0,128.513916015625,13.102413177490234,5.117619514465332,3.4426329135894775,1,8,4,0,116550908.9465662,-30.265033721923828,1,1,5.8297616117538285,-55.81236116788411,0.9465662,116550908,b'EBT_SA',255,255,2,1,3,0.9638623595237732,155570800200090798,-22.820722579956055,1,10.363879203796387,10.607072830200195,0.0,0.0
14314,0.0,-9999.0,35.18217468261719,13.121487617492676,-0.027010830119252205,3.4451379776000977,1,8,4,0,116550908.9548302,-26.427810668945312,1,1,5.830183053192601,-55.81206067671711,0.9548302000000001,116550908,b'EBT_SA',255,255,2,0,0,0.9783963561058044,155570800200090799,-22.820999145507812,1,9.986991882324219,10.212737083435059,0.0,0.0
14315,0.0,-9999.0,30.04068374633789,13.124266624450684,-0.45608827471733093,3.445502758026123,1,8,4,0,116550908.9630942,-24.2593994140625,1,0,5.83060405218284,-55.811760362483575,0.9630942,116550908,b'EBT_SA',255,255,1,0,0,0.9450162053108215,155570800200090800,-22.82127571105957,1,9.962931632995605,10.17251205444336,0.0,0.0
14316,0.020088789984583855,-9999.0,37.227718353271484,13.120874404907227,0.13480064272880554,3.4450573921203613,1,8,4,0,116550908.9713582,-26.01835823059082,1,1,5.831024127696534,-55.811460521838185,0.9713582000000001,116550908,b'EBT_SA',255,255,2,0,0,0.9808934926986694,155570800200090801,-22.821552276611328,1,10.0,10.223991394042969,0.0,0.0
14317,0.0,-9999.0,33.556129455566406,13.122163772583008,-0.15906228125095367,3.4452266693115234,1,8,4,0,116550908.9796222,-25.478107452392578,1,1,5.8314445738007645,-55.81116031996298,0.9796222000000001,116550908,b'EBT_SA',255,255,1,0,0,0.9542136192321777,155570800200090802,-22.821828842163086,1,9.977975845336914,10.201960563659668,0.0,0.0
14318,74.78071594238281,7.23958158493042,213.2920379638672,13.108634948730469,8.224507331848145,3.4434502124786377,1,8,4,0,116550908.9878862,-29.31640625,1,1,5.831863983848142,-55.810860643784025,0.9878862,116550908,b'EBT_SA',255,255,2,5,3,0.9798227548599243,155570800200090803,-22.822107315063477,1,10.165136337280273,11.269427299499512,0.0,0.0
14319,26.50339698791504,-9999.0,123.28591918945312,13.101319313049316,4.896275520324707,3.4424893856048584,1,8,4,0,116550908.9961502,-26.267736434936523,1,1,5.8322847053815945,-55.810559986734134,0.9961502,116550908,b'EBT_SA',255,255,1,1,0,0.9553329348564148,155570800200090804,-22.822383880615234,1,10.03344440460205,10.902751922607422,0.0,0.0
14320,0.3049025237560272,-9999.0,42.39606475830078,13.117918968200684,0.525164783000946,3.444669485092163,1,8,4,0,116550909.0044142,-28.74495506286621,1,1,5.832704134293331,-55.81025999968973,0.004414200000000035,116550909,b'EBT_SA',255,255,1,0,0,0.959703266620636,155570800200090805,-22.82265853881836,1,10.016486167907715,10.265963554382324,0.0,0.0
14321,50.69623565673828,1.3498520851135254,171.04525756835938,13.114622116088867,6.7717814445495605,3.4442365169525146,1,8,4,0,116550909.0126782,-30.00666046142578,1,1,5.833123681193004,-55.80995978426723,0.012678200000000084,116550909,b'EBT_SA',255,255,1,1,0,0.9508216381072998,155570800200090806,-22.82293701171875,1,10.03543758392334,11.181234359741211,0.0,0.0
14322,150.04380798339844,39.464622497558594,331.83673095703125,13.153621673583984,11.649951934814453,3.4493539333343506,1,8,4,0,116550909.0209422,-30.777671813964844,1,0,5.8335432038067845,-55.80965944150814,0.020942200000000133,116550909,b'EBT_SA',255,255,2,3,3,0.946360170841217,155570800200090807,-22.82321548461914,1,10.203920364379883,11.743083000183105,0.0,0.0
14323,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,8,4,0,116550909.0292062,-30.702632904052734,0,0,5.833962788563872,-55.80935892672226,0.02920619999999996,116550909,b'EBT_SA',255,255,10,0,0,0.8678216338157654,155570800200090808,-22.823488235473633,1,-9999.0,-9999.0,-9999.0,-9999.0
