,rx_Waveform,rx_Elevation
0,251.40945,49.686019310727715
1,251.48854,49.53633748341815
2,251.52429,49.38665565610859
3,251.2145,49.23697382879902
4,250.72652,49.08729200148946
5,250.62785,48.937610174179895
6,251.34515,48.78792834687033
7,252.67378,48.63824651956077
8,254.01834,48.4885646922512
9,254.8685,48.33888286494164
10,255.04398,48.189201037632074
11,254.69548,48.03951921032251
12,254.18626,47.88983738301292
13,253.87315,47.74015555570335
14,253.9638,47.59047372839379
15,254.36137,47.440791901084225
16,254.77856,47.29111007377466
17,254.93025,47.1414282464651
18,254.61812,46.99174641915553
19,253.7717,46.84206459184597
20,252.5703,46.692382764536404
21,251.38803,46.54270093722684
22,250.66887,46.393019109917276
23,250.71548,46.24333728260771
24,251.64153,46.09365545529815
25,253.28728,45.94397362798858
26,255.12332,45.79429180067902
27,256.38776,45.644609973369455
28,256.65564,45.49492814605986
29,256.0795,45.3452463187503
30,255.24991,45.195564491440734
31,254.5968,45.04588266413117
32,254.2057,44.896200836821606
33,253.9668,44.74651900951204
34,253.85664,44.59683718220248
35,253.792,44.447155354892914
36,253.6595,44.29747352758335
37,253.25992,44.147791700273785
38,252.4957,43.99810987296422
39,251.45644,43.84842804565466
40,250.51411,43.69874621834509
41,250.2518,43.54906439103553
42,251.13087,43.399382563725965
43,253.0468,43.2497007364164
44,255.2981,43.10001890910681
45,256.99274,42.950337081797244
46,257.5924,42.80065525448768
47,257.19812,42.650973427178116
48,256.33652,42.50129159986855
49,255.64592,42.35160977255899
50,255.54276,42.20192794524942
51,256.0053,42.05224611793986
52,256.6729,41.902564290630295
53,257.02634,41.75288246332073
54,256.63672,41.60320063601117
55,255.47542,41.4535188087016
56,254.03412,41.30383698139204
57,253.06525,41.154155154082474
58,253.07541,41.00447332677291
59,253.91275,40.85479149946332
60,254.98766,40.70510967215375
61,255.77397,40.55542784484419
62,256.0683,40.405746017534625
63,255.92844,40.25606419022506
64,255.55084,40.1063823629155
65,255.19875,39.95670053560593
66,255.15508,39.80701870829637
67,255.51715,39.657336880986804
68,256.16742,39.50765505367724
69,256.80087,39.357973226367676
70,257.10596,39.20829139905811
71,256.97324,39.05860957174855
72,256.62357,38.908927744438984
73,256.41415,38.75924591712942
74,256.506,38.609564089819855
75,256.65402,38.45988226251026
76,256.47208,38.3102004352007
77,255.88066,38.160518607891134
78,255.14787,38.01083678058157
79,254.6664,37.861154953272006
80,254.66586,37.71147312596244
81,255.06024,37.56179129865288
82,255.52245,37.412109471343314
83,255.76328,37.26242764403375
84,255.73036,37.112745816724185
85,255.6244,36.96306398941462
86,255.6539,36.81338216210506
87,255.78506,36.66370033479549
88,255.85612,36.51401850748593
89,255.77834,36.364336680176365
90,255.50769,36.2146548528668
91,254.97243,36.06497302555721
92,254.12082,35.915291198247644
93,253.11867,35.76560937093808
94,252.37303,35.61592754362853
95,252.32584,35.46624571631895
96,253.11082,35.31656388900939
97,254.4619,35.16688206169982
98,255.80849,35.01720023439026
99,256.6038,34.867518407080695
100,256.53055,34.71783657977113
101,255.65839,34.56815475246157
102,254.34973,34.418472925152
103,253.11897,34.268791097842424
104,252.4346,34.11910927053286
105,252.47623,33.969427443223296
106,253.06746,33.81974561591373
107,253.86356,33.67006378860417
108,254.56636,33.5203819612946
109,254.97993,33.37070013398504
110,255.00912,33.221018306675475
111,254.67355,33.0713364793659
112,254.23451,32.92165465205633
113,253.99321,32.77197282474677
114,253.99341,32.622290997437204
115,253.96837,32.47260917012764
116,253.70506,32.322927342818076
117,253.38083,32.17324551550851
118,253.43451,32.023563688198934
119,254.08072,31.87388186088937
120,255.09035,31.724200033579805
121,255.92723,31.57451820627024
122,256.1784,31.424836378960677
123,255.94283,31.275154551651113
124,255.61078,31.12547272434155
125,255.41975,30.975790897031985
126,255.2361,30.826109069722406
127,254.79224,30.676427242412842
128,254.05457,30.526745415103278
129,253.34105,30.377063587793714
130,252.90503,30.22738176048415
131,252.82933,30.077699933174586
132,253.0753,29.92801810586502
133,253.60237,29.778336278555457
134,254.20992,29.62865445124588
135,254.54266,29.478972623936315
136,254.26387,29.32929079662675
137,253.41841,29.179608969317187
138,252.33183,29.029927142007622
139,251.42856,28.880245314698058
140,250.92471,28.730563487388494
141,250.83185,28.58088166007893
142,251.10823,28.43119983276935
143,251.77011,28.281518005459787
144,252.7346,28.131836178150223
145,253.65643,27.98215435084066
146,254.00214,27.832472523531095
147,253.50485,27.68279069622153
148,252.45616,27.533108868911967
149,251.44492,27.383427041602403
150,250.79938,27.233745214292824
151,250.3906,27.08406338698326
152,250.04164,26.934381559673696
153,249.85626,26.784699732364132
154,250.0397,26.635017905054568
155,250.65971,26.485336077745004
156,251.52237,26.33565425043544
157,252.31168,26.185972423125875
158,252.79355,26.036290595816297
159,252.90372,25.886608768506733
160,252.80238,25.73692694119717
161,252.86559,25.587245113887604
162,253.38684,25.43756328657804
163,254.43094,25.287881459268476
164,255.80241,25.138199631958912
165,257.09302,24.988517804649348
166,257.78384,24.83883597733977
167,257.54376,24.689154150030205
168,256.4192,24.53947232272064
169,254.85281,24.389790495411077
170,253.35188,24.240108668101513
171,252.2892,24.09042684079195
172,251.88031,23.940745013482385
173,252.23508,23.79106318617282
174,253.15504,23.641381358863242
175,254.08015,23.491699531553678
176,254.40065,23.342017704244114
177,253.8798,23.19233587693455
178,252.76756,23.042654049624986
179,251.63385,22.89297222231542
180,251.01852,22.743290395005857
181,251.1531,22.593608567696293
182,251.91916,22.443926740386715
183,253.01051,22.29424491307715
184,254.06665,22.144563085767587
