,rx_Waveform,rx_Elevation
0,254.12157,29.926155460067093
1,254.10583,29.776496838130726
2,254.08496,29.626838216194358
3,254.17546,29.477179594257976
4,254.433,29.327520972321608
5,254.89471,29.17786235038524
6,255.33919,29.028203728448872
7,255.54909,28.878545106512505
8,255.31683,28.728886484576137
9,254.8042,28.57922786263977
10,254.36096,28.429569240703387
11,254.33636,28.27991061876702
12,254.62518,28.13025199683065
13,254.86055,27.980593374894283
14,254.61841,27.830934752957916
15,253.90163,27.681276131021548
16,253.00314,27.53161750908518
17,252.2573,27.381958887148798
18,251.69984,27.23230026521243
19,251.2476,27.082641643276062
20,250.86761,26.932983021339695
21,250.67265,26.783324399403327
22,250.65504,26.63366577746696
23,250.69695,26.48400715553059
24,250.64268,26.33434853359421
25,250.48317,26.18468991165784
26,250.33774,26.035031289721474
27,250.34236,25.885372667785106
28,250.5127,25.735714045848738
29,250.81644,25.58605542391237
30,251.20352,25.436396801976002
31,251.72855,25.28673818003962
32,252.55275,25.137079558103252
33,253.72319,24.987420936166885
34,254.9669,24.837762314230517
35,255.75739,24.68810369229415
36,255.5813,24.53844507035778
37,254.39827,24.388786448421413
38,252.68938,24.23912782648503
39,251.17111,24.089469204548664
40,250.2737,23.939810582612296
41,250.08902,23.790151960675928
42,250.44734,23.64049333873956
43,251.24352,23.490834716803192
44,252.27742,23.341176094866825
45,253.29295,23.191517472930443
46,253.95993,23.041858850994075
47,254.27591,22.892200229057707
48,254.49295,22.74254160712134
49,254.92825,22.59288298518497
50,255.60545,22.443224363248603
51,256.27142,22.293565741312236
52,256.50717,22.143907119375854
53,256.0683,21.994248497439486
54,255.02602,21.844589875503118
55,253.74615,21.69493125356675
56,252.6637,21.545272631630382
57,252.1434,21.395614009694015
58,252.3831,21.245955387757647
59,253.39699,21.09629676582128
60,254.93228,20.946638143884897
61,256.53848,20.79697952194853
62,257.67398,20.64732090001216
63,258.00134,20.497662278075794
64,257.38083,20.348003656139426
65,255.87852,20.198345034203058
66,253.85707,20.04868641226669
67,252.05058,19.899027790330308
68,251.22186,19.74936916839394
69,251.7761,19.599710546457572
70,253.43782,19.450051924521205
71,255.45891,19.300393302584837
72,257.11218,19.15073468064847
73,257.98315,19.0010760587121
74,257.93198,18.85141743677572
75,257.0102,18.70175881483935
76,255.4244,18.552100192902984
77,253.57039,18.402441570966616
78,251.96832,18.252782949030248
79,251.05376,18.10312432709388
80,250.90913,17.953465705157512
81,251.2526,17.80380708322113
82,251.72739,17.654148461284763
83,252.1504,17.504489839348395
84,252.50197,17.354831217412027
85,252.88362,17.20517259547566
86,253.30139,17.05551397353929
87,253.63416,16.905855351602924
88,253.67273,16.75619672966654
89,253.26508,16.606538107730174
90,252.50224,16.456879485793806
91,251.86526,16.307220863857438
92,251.86526,16.15756224192107
93,252.59734,16.007903619984702
94,253.6436,15.858244998048335
95,254.47209,15.708586376111953
96,254.85362,15.558927754175585
97,254.97295,15.409269132239217
98,255.13603,15.25961051030285
99,255.42183,15.109951888366481
100,255.63889,14.960293266430114
101,255.57707,14.810634644493746
102,255.22252,14.660976022557364
103,254.84808,14.511317400620996
104,254.75117,14.361658778684628
105,254.99185,14.21200015674826
106,255.4036,14.062341534811893
107,255.81935,13.912682912875525
108,256.16266,13.763024290939157
109,256.36368,13.613365669002775
110,256.2926,13.463707047066407
111,255.89185,13.31404842513004
112,255.29327,13.164389803193671
113,254.76913,13.014731181257304
114,254.4916,12.865072559320936
115,254.44165,12.715413937384568
116,254.49593,12.565755315448186
117,254.47716,12.416096693511818
118,254.13641,12.26643807157545
119,253.35231,12.116779449639083
120,252.27663,11.967120827702715
121,251.41255,11.817462205766347
122,251.27084,11.66780358382998
123,251.89081,11.518144961893597
124,252.71898,11.36848633995723
125,253.13704,11.218827718020862
126,252.92023,11.069169096084494
127,252.45988,10.919510474148126
128,252.30762,10.769851852211758
129,252.7464,10.62019323027539
130,253.54623,10.470534608339008
131,254.31158,10.32087598640264
132,254.68507,10.171217364466273
133,254.63303,10.021558742529905
134,254.24084,9.871900120593537
135,253.6948,9.72224149865717
136,253.06935,9.572582876720801
137,252.42337,9.42292425478442
138,251.82007,9.273265632848052
139,251.46362,9.123607010911684
140,251.49606,8.973948388975316
141,251.8934,8.824289767038948
142,252.38602,8.67463114510258
143,252.67667,8.524972523166213
144,252.63406,8.37531390122983
145,252.32176,8.225655279293463
146,251.86864,8.075996657357095
147,251.48793,7.926338035420727
148,251.41672,7.776679413484359
149,251.77052,7.6270207915479915
150,252.34761,7.477362169611624
151,252.77797,7.327703547675242
152,252.78119,7.178044925738874
153,252.43034,7.028386303802506
154,252.01309,6.878727681866138
155,251.84111,6.7290690599297704
156,252.03079,6.579410437993403
157,252.57227,6.429751816057035
158,253.28494,6.280093194120653
159,253.99646,6.130434572184285
160,254.57153,5.980775950247917
161,254.98817,5.831117328311549
162,255.26067,5.681458706375182
163,255.42744,5.531800084438814
164,255.4507,5.382141462502446
165,255.35199,5.232482840566064
166,255.27312,5.082824218629696
167,255.40701,4.933165596693328
168,255.82555,4.7835069747569605
169,256.32565,4.633848352820593
170,256.64267,4.484189730884225
171,256.64218,4.334531108947857
172,256.4004,4.184872487011475
173,255.9981,4.035213865075107
174,255.51395,3.8855552431387395
175,255.07019,3.7358966212023716
176,254.86246,3.586237999266004
177,254.97867,3.436579377329636
178,255.35759,3.2869207553932682
179,255.81412,3.137262133456886
180,256.06683,2.9876035115205184
181,255.85825,2.8379448895841506
182,255.07495,2.688286267647783
183,253.95227,2.538627645711415
184,252.92133,2.388969023775047
